lead,region,bin_center,raw_mean_forecast,raw_obs_freq,raw_bin_weight,cal_mean_forecast,cal_obs_freq,cal_bin_weight
week3,global,0.05,0.0027989551988536416,0.17823120346948373,33935995.87896629,nan,nan,0.0
week3,global,0.15000000000000002,0.13333334028720858,0.29064968781438094,1191993.4992902114,0.17529903554862292,0.17498776896622523,32511215.971868794
week3,global,0.25,0.20393438363580033,0.3125664909560265,16973728.993849907,0.26982081159715404,0.269737063923695,2616773.4063877747
week3,global,0.35000000000000003,0.33333334326744074,0.3612799667734474,919249.526898067,0.33994380685915326,0.340091708173663,31527164.605444536
week3,global,0.45,0.40362235791308354,0.3727694479528264,13684156.011033088,0.4366948531721578,0.4370397476788752,11070527.114166109
week3,global,0.55,0.5333333611488343,0.41865886497901356,655393.0106015427,0.512323652138581,0.51276320641109,6575897.593106005
week3,global,0.6500000000000001,0.6034377877359413,0.4358906583107393,9937584.29315961,0.652670104859779,0.6556519589446309,4804252.120376997
week3,global,0.75,0.7333333492279055,0.49744573679007026,450661.470075891,nan,nan,0.0
week3,global,0.8500000000000001,0.8034591260535067,0.5132815359652572,6552816.0070986245,nan,nan,0.0
week3,global,0.95,0.9957188224953998,0.6556519589446309,4804252.120376997,nan,nan,0.0
